Timestamp: 20241007_192119
Mean magnitude: 1.4515947103500366, after 0.639287 seconds
Mean magnitude: 1.243961215019226, after 0.860112 seconds
Mean magnitude: 2.337867498397827, after 1.072628 seconds
Mean magnitude: 1.0907700061798096, after 1.272577 seconds
Mean magnitude: 1.5769987106323242, after 1.487396 seconds
Mean magnitude: 1.1264420747756958, after 1.699845 seconds
Mean magnitude: 1.5734643936157227, after 1.91086 seconds
Mean magnitude: 1.2295496463775635, after 2.109865 seconds
Mean magnitude: 1.4276117086410522, after 2.321371 seconds
Mean magnitude: 1.3441617488861084, after 2.536181 seconds
Mean magnitude: 1.452181100845337, after 2.748652 seconds
Mean magnitude: 1.1271826028823853, after 2.959172 seconds
Mean magnitude: 1.9834057092666626, after 3.159363 seconds
Mean magnitude: 1.2616593837738037, after 3.370003 seconds
Mean magnitude: 1.769311785697937, after 3.584505 seconds
Mean magnitude: 1.0228188037872314, after 3.798533 seconds
Mean magnitude: 1.3223237991333008, after 4.007027 seconds
Mean magnitude: 1.4198039770126343, after 4.202314 seconds
Mean magnitude: 1.6238548755645752, after 4.402876 seconds
Mean magnitude: 1.460508942604065, after 4.6126 seconds
Mean magnitude: 1.2758663892745972, after 4.811557 seconds
Mean magnitude: 1.4787499904632568, after 5.02174 seconds
Mean magnitude: 1.1657836437225342, after 5.221409 seconds
Mean magnitude: 1.6464197635650635, after 5.4301 seconds
Mean magnitude: 1.13819420337677, after 5.626879 seconds
Mean magnitude: 1.4386976957321167, after 5.827595 seconds
Mean magnitude: 2.2982611656188965, after 6.039901 seconds
Mean magnitude: 1.0671635866165161, after 6.251984 seconds
Mean magnitude: 1.5704866647720337, after 6.464103 seconds
Mean magnitude: 1.3665049076080322, after 6.662213 seconds
Mean magnitude: 1.388602375984192, after 6.874671 seconds
Mean magnitude: 0.9092446565628052, after 7.08498 seconds
Mean magnitude: 1.1154128313064575, after 7.286685 seconds
Mean magnitude: 1.2406346797943115, after 7.494122 seconds
Mean magnitude: 1.1545295715332031, after 7.69409 seconds
Mean magnitude: 1.5602949857711792, after 7.907366 seconds
Mean magnitude: 1.2675436735153198, after 8.118215 seconds
Mean magnitude: 1.5767614841461182, after 8.318681 seconds
Mean magnitude: 1.399540662765503, after 8.525677 seconds
Mean magnitude: 1.3372174501419067, after 8.72399 seconds
Mean magnitude: 1.6858710050582886, after 8.921281 seconds
Mean magnitude: 1.4752126932144165, after 9.120082 seconds
Mean magnitude: 1.4522078037261963, after 9.330632 seconds
Mean magnitude: 1.169909119606018, after 9.527091 seconds
Mean magnitude: 1.5529720783233643, after 9.724279 seconds
Mean magnitude: 1.5173704624176025, after 9.919881 seconds
Mean magnitude: 3.0704469680786133, after 10.119781 seconds
Component attached gently, after 10.119781 seconds
Mean magnitude: 2.6418840885162354, after 10.329442 seconds
Mean magnitude: 3.381378173828125, after 10.530437 seconds
Component attached gently, after 10.530437 seconds
Mean magnitude: 1.8887385129928589, after 10.742857 seconds
Mean magnitude: 1.0459189414978027, after 10.955239 seconds
Mean magnitude: 1.0904978513717651, after 11.162451 seconds
Mean magnitude: 2.0788261890411377, after 11.363665 seconds
Mean magnitude: 1.388978362083435, after 11.577865 seconds
Mean magnitude: 1.8568875789642334, after 11.787925 seconds
Mean magnitude: 1.3367235660552979, after 11.987757 seconds
Mean magnitude: 1.5453710556030273, after 12.195917 seconds
Mean magnitude: 1.418175458908081, after 12.39416 seconds
Mean magnitude: 2.295297145843506, after 12.593952 seconds
Mean magnitude: 1.7477582693099976, after 12.808112 seconds
Mean magnitude: 1.4128260612487793, after 13.016786 seconds
Mean magnitude: 1.1739461421966553, after 13.227429 seconds
Mean magnitude: 1.3521409034729004, after 13.428653 seconds
Mean magnitude: 2.1376736164093018, after 13.641172 seconds
Mean magnitude: 1.2263187170028687, after 13.857732 seconds
Mean magnitude: 1.7249048948287964, after 14.065784 seconds
Component disappeared: Mean magnitude: 1.7249048948287964
Component detached
Timestamp: 20241007_192250
Mean magnitude: 1.1436823606491089, after 0.650297 seconds
Mean magnitude: 1.104191780090332, after 0.879682 seconds
Mean magnitude: 2.661115884780884, after 1.090234 seconds
Mean magnitude: 1.2497775554656982, after 1.285019 seconds
Mean magnitude: 1.336348295211792, after 1.505372 seconds
Mean magnitude: 1.043033242225647, after 1.714498 seconds
Mean magnitude: 1.377570390701294, after 1.908678 seconds
Mean magnitude: 1.1463630199432373, after 2.105421 seconds
Mean magnitude: 1.87008535861969, after 2.301342 seconds
Mean magnitude: 0.9966073036193848, after 2.499511 seconds
Mean magnitude: 1.1900653839111328, after 2.698236 seconds
Mean magnitude: 1.137203574180603, after 2.896474 seconds
Mean magnitude: 1.0365546941757202, after 3.110873 seconds
Mean magnitude: 1.032256841659546, after 3.324821 seconds
Mean magnitude: 1.1190589666366577, after 3.534224 seconds
Mean magnitude: 1.328118920326233, after 3.729714 seconds
Mean magnitude: 1.189391851425171, after 3.92764 seconds
Mean magnitude: 1.146634578704834, after 4.124075 seconds
Mean magnitude: 1.2425576448440552, after 4.320063 seconds
Mean magnitude: 1.3342547416687012, after 4.519871 seconds
Mean magnitude: 1.420652151107788, after 4.732694 seconds
Mean magnitude: 2.0379369258880615, after 4.944885 seconds
Mean magnitude: 1.2917649745941162, after 5.155948 seconds
Mean magnitude: 1.0798968076705933, after 5.357074 seconds
Mean magnitude: 0.9747492074966431, after 5.56859 seconds
Mean magnitude: 1.0169755220413208, after 5.781752 seconds
Mean magnitude: 1.0238897800445557, after 5.992279 seconds
Mean magnitude: 1.970813512802124, after 6.204228 seconds
Mean magnitude: 1.2273988723754883, after 6.401075 seconds
Mean magnitude: 1.467525839805603, after 6.59844 seconds
Mean magnitude: 1.234933614730835, after 6.811044 seconds
Mean magnitude: 1.0398776531219482, after 7.020303 seconds
Mean magnitude: 1.3276764154434204, after 7.2206 seconds
Mean magnitude: 1.3419501781463623, after 7.431265 seconds
Mean magnitude: 1.7792259454727173, after 7.63352 seconds
Mean magnitude: 1.5407919883728027, after 7.842477 seconds
Mean magnitude: 1.5092031955718994, after 8.040817 seconds
Mean magnitude: 1.6102218627929688, after 8.251019 seconds
Mean magnitude: 1.2433538436889648, after 8.451665 seconds
Mean magnitude: 1.0144283771514893, after 8.663394 seconds
Mean magnitude: 1.3157398700714111, after 8.874356 seconds
Mean magnitude: 1.3332023620605469, after 9.072321 seconds
Mean magnitude: 1.0512001514434814, after 9.284185 seconds
Mean magnitude: 1.0245747566223145, after 9.499295 seconds
Mean magnitude: 1.7594283819198608, after 9.708743 seconds
Mean magnitude: 1.251415491104126, after 9.90751 seconds
Mean magnitude: 1.5253078937530518, after 10.119459 seconds
Mean magnitude: 3.577908515930176, after 10.332347 seconds
Component attached gently, after 10.332347 seconds
Mean magnitude: 2.1559956073760986, after 10.542537 seconds
Mean magnitude: 1.917860746383667, after 10.740292 seconds
Mean magnitude: 1.0369385480880737, after 10.942367 seconds
Mean magnitude: 1.2536460161209106, after 11.150303 seconds
Mean magnitude: 3.5960049629211426, after 11.352744 seconds
Component attached gently, after 11.352744 seconds
Mean magnitude: 1.2598577737808228, after 11.561897 seconds
Mean magnitude: 1.1848573684692383, after 11.772079 seconds
Mean magnitude: 1.1893210411071777, after 11.972718 seconds
Mean magnitude: 1.17886483669281, after 12.1787 seconds
Mean magnitude: 1.2847520112991333, after 12.381581 seconds
Mean magnitude: 1.113725185394287, after 12.589242 seconds
Mean magnitude: 1.3471970558166504, after 12.787787 seconds
Mean magnitude: 1.0610600709915161, after 12.984664 seconds
Mean magnitude: 1.279860019683838, after 13.182969 seconds
Mean magnitude: 1.206397294998169, after 13.389767 seconds
Mean magnitude: 1.6216726303100586, after 13.590208 seconds
Mean magnitude: 1.0343234539031982, after 13.789687 seconds
Mean magnitude: 1.541290044784546, after 14.001042 seconds
Mean magnitude: 1.3662109375, after 14.196563 seconds
Component disappeared: Mean magnitude: 1.3662109375
Component detached
Timestamp: 20241007_192340
Mean magnitude: 1.5257474184036255, after 0.637219 seconds
Mean magnitude: 1.1961477994918823, after 0.859235 seconds
Mean magnitude: 1.7806580066680908, after 1.064252 seconds
Mean magnitude: 1.3632006645202637, after 1.272971 seconds
Mean magnitude: 1.4962536096572876, after 1.485206 seconds
Mean magnitude: 1.2760869264602661, after 1.685997 seconds
Mean magnitude: 1.5842292308807373, after 1.896045 seconds
Mean magnitude: 1.1738834381103516, after 2.107871 seconds
Mean magnitude: 1.1066042184829712, after 2.323947 seconds
Mean magnitude: 1.3492350578308105, after 2.536245 seconds
Mean magnitude: 1.8219127655029297, after 2.748811 seconds
Mean magnitude: 1.5263360738754272, after 2.9583 seconds
Mean magnitude: 1.251173734664917, after 3.154751 seconds
Mean magnitude: 1.6876250505447388, after 3.35121 seconds
