Timestamp: 20241007_190552
Mean magnitude: 1.3877112865447998, after 0.797126 seconds
Mean magnitude: 2.117157459259033, after 1.112452 seconds
Mean magnitude: 1.257551670074463, after 1.416574 seconds
Mean magnitude: 1.290452241897583, after 1.717194 seconds
Mean magnitude: 1.1332160234451294, after 2.015369 seconds
Mean magnitude: 1.7658123970031738, after 2.31691 seconds
Mean magnitude: 1.0813878774642944, after 2.615873 seconds
Mean magnitude: 1.3946884870529175, after 2.915313 seconds
Mean magnitude: 1.5646580457687378, after 3.220076 seconds
Mean magnitude: 1.594674825668335, after 3.528552 seconds
Mean magnitude: 1.3001606464385986, after 3.833446 seconds
Mean magnitude: 1.6240023374557495, after 4.137901 seconds
Mean magnitude: 1.847547173500061, after 4.439921 seconds
Mean magnitude: 0.9239713549613953, after 4.750266 seconds
Mean magnitude: 1.073256254196167, after 5.0591 seconds
Mean magnitude: 1.593165636062622, after 5.368818 seconds
Mean magnitude: 1.2878180742263794, after 5.686429 seconds
Mean magnitude: 1.2548332214355469, after 5.993243 seconds
Mean magnitude: 1.8753775358200073, after 6.298436 seconds
Mean magnitude: 1.1104557514190674, after 6.612871 seconds
Mean magnitude: 1.674436330795288, after 6.924578 seconds
Mean magnitude: 1.488685965538025, after 7.232624 seconds
Mean magnitude: 1.085396647453308, after 7.535236 seconds
Mean magnitude: 1.9781140089035034, after 7.839009 seconds
Mean magnitude: 1.2810028791427612, after 8.145986 seconds
Mean magnitude: 1.295302152633667, after 8.448509 seconds
Mean magnitude: 1.140912652015686, after 8.754139 seconds
Mean magnitude: 1.4442095756530762, after 9.069597 seconds
Mean magnitude: 1.230873942375183, after 9.383589 seconds
Mean magnitude: 1.1568527221679688, after 9.69102 seconds
Mean magnitude: 1.241644024848938, after 9.990761 seconds
Mean magnitude: 3.0215957164764404, after 10.296216 seconds
Component attached gently, after 10.296216 seconds
Mean magnitude: 1.225179672241211, after 10.601224 seconds
Mean magnitude: 1.230531096458435, after 10.906278 seconds
Mean magnitude: 1.2078601121902466, after 11.213148 seconds
Mean magnitude: 1.450225591659546, after 11.522231 seconds
Mean magnitude: 1.506935715675354, after 11.829014 seconds
Mean magnitude: 1.210344672203064, after 12.138772 seconds
Mean magnitude: 1.1507854461669922, after 12.446054 seconds
Mean magnitude: 1.5868200063705444, after 12.752711 seconds
Mean magnitude: 1.341024398803711, after 13.066248 seconds
Mean magnitude: 1.2256439924240112, after 13.371357 seconds
Mean magnitude: 1.4512805938720703, after 13.676856 seconds
Mean magnitude: 1.164369821548462, after 13.980531 seconds
Component jumped: Mean magnitude: 1.164369821548462
Component detached
Timestamp: 20241007_190639
Mean magnitude: 1.6608912944793701, after 0.836856 seconds
Mean magnitude: 2.4576165676116943, after 1.15706 seconds
Mean magnitude: 1.5132758617401123, after 1.465869 seconds
Mean magnitude: 1.164520502090454, after 1.777157 seconds
Mean magnitude: 1.456865906715393, after 2.086968 seconds
Mean magnitude: 1.9559190273284912, after 2.396352 seconds
Mean magnitude: 2.018782138824463, after 2.702378 seconds
Mean magnitude: 1.0785356760025024, after 3.007171 seconds
Mean magnitude: 1.5487734079360962, after 3.313798 seconds
Mean magnitude: 1.134360671043396, after 3.633324 seconds
Mean magnitude: 1.5409462451934814, after 3.942101 seconds
Mean magnitude: 1.17295241355896, after 4.246196 seconds
Mean magnitude: 1.7743990421295166, after 4.550124 seconds
Mean magnitude: 1.4017750024795532, after 4.852367 seconds
Mean magnitude: 1.1402854919433594, after 5.160614 seconds
Mean magnitude: 1.7746212482452393, after 5.467738 seconds
Mean magnitude: 2.2992312908172607, after 5.773164 seconds
Mean magnitude: 1.419183373451233, after 6.075305 seconds
Mean magnitude: 1.3112187385559082, after 6.383308 seconds
Mean magnitude: 1.162680745124817, after 6.687705 seconds
Mean magnitude: 1.298513412475586, after 6.999649 seconds
Mean magnitude: 1.3716011047363281, after 7.307045 seconds
Mean magnitude: 1.3509855270385742, after 7.61425 seconds
Mean magnitude: 1.2068718671798706, after 7.920075 seconds
Mean magnitude: 1.6053205728530884, after 8.228876 seconds
Mean magnitude: 1.426056146621704, after 8.528948 seconds
Mean magnitude: 1.8010985851287842, after 8.835193 seconds
Mean magnitude: 1.2644977569580078, after 9.143673 seconds
Mean magnitude: 1.2126119136810303, after 9.451253 seconds
Mean magnitude: 1.3588072061538696, after 9.753385 seconds
Mean magnitude: 1.7981717586517334, after 10.059388 seconds
Mean magnitude: 3.204756498336792, after 10.368946 seconds
Component attached gently, after 10.368946 seconds
Mean magnitude: 1.5403753519058228, after 10.678915 seconds
Mean magnitude: 1.3914824724197388, after 10.985422 seconds
Mean magnitude: 1.1421449184417725, after 11.290689 seconds
Mean magnitude: 1.7862727642059326, after 11.596702 seconds
Mean magnitude: 1.5256783962249756, after 11.902021 seconds
Mean magnitude: 1.454332709312439, after 12.211497 seconds
Mean magnitude: 1.277124285697937, after 12.524192 seconds
Mean magnitude: 1.6435625553131104, after 12.834838 seconds
Mean magnitude: 0.9167779684066772, after 13.141277 seconds
Mean magnitude: 1.161804437637329, after 13.443073 seconds
Mean magnitude: 1.4631290435791016, after 13.744739 seconds
Mean magnitude: 1.7165210247039795, after 14.051893 seconds
Component disappeared: Mean magnitude: 1.7165210247039795
Component detached
Timestamp: 20241007_190725
Mean magnitude: 1.303372859954834, after 0.798829 seconds
Mean magnitude: 1.6943652629852295, after 1.105837 seconds
Mean magnitude: 1.6840198040008545, after 1.403692 seconds
Mean magnitude: 0.9813521504402161, after 1.70273 seconds
Mean magnitude: 1.3434410095214844, after 2.004152 seconds
Mean magnitude: 1.03415846824646, after 2.308436 seconds
Mean magnitude: 1.0530548095703125, after 2.612074 seconds
Mean magnitude: 1.4116542339324951, after 2.931104 seconds
Mean magnitude: 1.2161957025527954, after 3.236626 seconds
Mean magnitude: 1.4744157791137695, after 3.53873 seconds
Mean magnitude: 1.4737536907196045, after 3.841757 seconds
Mean magnitude: 1.3061240911483765, after 4.14007 seconds
Mean magnitude: 1.3729208707809448, after 4.43736 seconds
Mean magnitude: 1.221974492073059, after 4.73891 seconds
Mean magnitude: 1.6763650178909302, after 5.040205 seconds
Mean magnitude: 1.5690816640853882, after 5.340446 seconds
Mean magnitude: 1.8272085189819336, after 5.643455 seconds
Mean magnitude: 1.1171985864639282, after 5.944506 seconds
Mean magnitude: 1.0488948822021484, after 6.243487 seconds
Mean magnitude: 0.9933336973190308, after 6.545386 seconds
Mean magnitude: 1.6750823259353638, after 6.84871 seconds
Mean magnitude: 2.1341214179992676, after 7.154405 seconds
Mean magnitude: 1.4620351791381836, after 7.467347 seconds
Mean magnitude: 1.2721021175384521, after 7.773393 seconds
Mean magnitude: 0.9456548690795898, after 8.078716 seconds
Mean magnitude: 1.2171103954315186, after 8.382475 seconds
Mean magnitude: 1.5093384981155396, after 8.683324 seconds
Mean magnitude: 1.2152059078216553, after 8.983723 seconds
Mean magnitude: 0.9195774793624878, after 9.284289 seconds
Mean magnitude: 1.5350390672683716, after 9.585039 seconds
Mean magnitude: 1.5737000703811646, after 9.889904 seconds
Mean magnitude: 1.8987255096435547, after 10.191184 seconds
Mean magnitude: 3.0059781074523926, after 10.494313 seconds
Component attached gently, after 10.494313 seconds
Mean magnitude: 2.9927101135253906, after 10.797822 seconds
Mean magnitude: 1.156948447227478, after 11.097716 seconds
Mean magnitude: 1.0370068550109863, after 11.404527 seconds
Mean magnitude: 1.612753987312317, after 11.714327 seconds
Mean magnitude: 1.0558592081069946, after 12.024204 seconds
Mean magnitude: 1.0507845878601074, after 12.327668 seconds
Mean magnitude: 1.6930515766143799, after 12.625801 seconds
Mean magnitude: 1.0343326330184937, after 12.927307 seconds
Mean magnitude: 1.0243982076644897, after 13.230935 seconds
Mean magnitude: 1.5480105876922607, after 13.533119 seconds
Mean magnitude: 2.968719959259033, after 13.836874 seconds
Mean magnitude: 1.524612545967102, after 14.146803 seconds
Component disappeared: Mean magnitude: 1.524612545967102
Component detached
Timestamp: 20241007_190806
Mean magnitude: 1.4171311855316162, after 0.816481 seconds
Mean magnitude: 2.2390081882476807, after 1.149909 seconds
Mean magnitude: 1.0923142433166504, after 1.457242 seconds
Mean magnitude: 1.8195432424545288, after 1.76469 seconds
Mean magnitude: 1.8438045978546143, after 2.073384 seconds
Mean magnitude: 1.024871587753296, after 2.375931 seconds
Mean magnitude: 1.367125391960144, after 2.678535 seconds
Mean magnitude: 1.1048147678375244, after 2.98098 seconds
Mean magnitude: 1.133984923362732, after 3.285944 seconds
Mean magnitude: 1.1114206314086914, after 3.591898 seconds
Mean magnitude: 1.7322685718536377, after 3.894632 seconds
Mean magnitude: 1.387427806854248, after 4.198723 seconds
Mean magnitude: 1.4431836605072021, after 4.508489 seconds
Mean magnitude: 1.6890636682510376, after 4.806963 seconds
Mean magnitude: 1.388420820236206, after 5.109761 seconds
Mean magnitude: 1.1674995422363281, after 5.412189 seconds
Mean magnitude: 1.1445473432540894, after 5.714622 seconds
Mean magnitude: 1.0978550910949707, after 6.015044 seconds
Mean magnitude: 0.9720543622970581, after 6.318262 seconds
Mean magnitude: 1.7683206796646118, after 6.621471 seconds
Mean magnitude: 1.564995288848877, after 6.931966 seconds
Mean magnitude: 1.6359143257141113, after 7.236591 seconds
Mean magnitude: 1.314487099647522, after 7.547752 seconds
Mean magnitude: 1.5072345733642578, after 7.861343 seconds
Mean magnitude: 1.2927682399749756, after 8.169186 seconds
Mean magnitude: 1.0243662595748901, after 8.478769 seconds
Mean magnitude: 1.497291088104248, after 8.786869 seconds
Mean magnitude: 0.9099658131599426, after 9.097496 seconds
Mean magnitude: 1.511052131652832, after 9.408523 seconds
Mean magnitude: 1.6886483430862427, after 9.721284 seconds
Mean magnitude: 1.9792078733444214, after 10.025508 seconds
Mean magnitude: 3.1691346168518066, after 10.333483 seconds
Component attached gently, after 10.333483 seconds
Mean magnitude: 3.512158155441284, after 10.640861 seconds
Component attached gently, after 10.640861 seconds
Mean magnitude: 1.4558581113815308, after 10.951007 seconds
Mean magnitude: 1.7951055765151978, after 11.25736 seconds
Mean magnitude: 1.5839428901672363, after 11.565665 seconds
Mean magnitude: 1.688750982284546, after 11.874215 seconds
Mean magnitude: 1.4574416875839233, after 12.181751 seconds
Mean magnitude: 1.8466823101043701, after 12.483693 seconds
Mean magnitude: 1.6602498292922974, after 12.786583 seconds
Mean magnitude: 2.050506114959717, after 13.091558 seconds
Mean magnitude: 1.7039861679077148, after 13.394261 seconds
Mean magnitude: 1.3896745443344116, after 13.703954 seconds
Mean magnitude: 1.7114181518554688, after 14.018116 seconds
Component disappeared: Mean magnitude: 1.7114181518554688
Component detached
Timestamp: 20241007_190845
Mean magnitude: 0.9451137185096741, after 0.800422 seconds
Mean magnitude: 1.634924054145813, after 1.108673 seconds
Mean magnitude: 1.372309684753418, after 1.404005 seconds
Mean magnitude: 1.5927996635437012, after 1.701774 seconds
Mean magnitude: 1.276816487312317, after 2.001013 seconds
Mean magnitude: 1.6032978296279907, after 2.300608 seconds
Mean magnitude: 1.7988139390945435, after 2.600151 seconds
Mean magnitude: 1.8416920900344849, after 2.899912 seconds
Mean magnitude: 1.0382736921310425, after 3.199738 seconds
Mean magnitude: 1.4180599451065063, after 3.502308 seconds
Mean magnitude: 1.8096767663955688, after 3.807791 seconds
Mean magnitude: 1.5750412940979004, after 4.111789 seconds
Mean magnitude: 1.225161075592041, after 4.415929 seconds
Mean magnitude: 1.4100627899169922, after 4.720149 seconds
Mean magnitude: 2.0025906562805176, after 5.027037 seconds
Mean magnitude: 1.227041244506836, after 5.334784 seconds
Mean magnitude: 2.167978286743164, after 5.642286 seconds
Mean magnitude: 2.445430278778076, after 5.946172 seconds
Mean magnitude: 1.251250982284546, after 6.246236 seconds
Mean magnitude: 1.4253106117248535, after 6.548145 seconds
Mean magnitude: 1.8728219270706177, after 6.858814 seconds
Mean magnitude: 1.2211863994598389, after 7.159946 seconds
Mean magnitude: 1.350438117980957, after 7.464037 seconds
Mean magnitude: 1.7889783382415771, after 7.765446 seconds
Mean magnitude: 1.3898690938949585, after 8.077239 seconds
Mean magnitude: 2.8946123123168945, after 8.385051 seconds
Mean magnitude: 1.5386930704116821, after 8.689855 seconds
Mean magnitude: 1.3061996698379517, after 8.994805 seconds
Mean magnitude: 1.8674160242080688, after 9.295603 seconds
Mean magnitude: 1.3429934978485107, after 9.603149 seconds
Mean magnitude: 1.3579890727996826, after 9.916263 seconds
Mean magnitude: 3.327507495880127, after 10.220961 seconds
Component attached gently, after 10.220961 seconds
Mean magnitude: 1.6051667928695679, after 10.530142 seconds
Mean magnitude: 1.3292239904403687, after 10.841572 seconds
Mean magnitude: 1.3022792339324951, after 11.158131 seconds
Mean magnitude: 0.9208073019981384, after 11.466611 seconds
Mean magnitude: 1.7748403549194336, after 11.771466 seconds
Mean magnitude: 1.2001339197158813, after 12.08179 seconds
Mean magnitude: 1.3417876958847046, after 12.388521 seconds
Mean magnitude: 1.1533516645431519, after 12.695929 seconds
Mean magnitude: 1.7893017530441284, after 13.003206 seconds
Mean magnitude: 1.2698007822036743, after 13.306028 seconds
Mean magnitude: 0.9396861791610718, after 13.608051 seconds
Mean magnitude: 1.2413345575332642, after 13.916137 seconds
Component disappeared: Mean magnitude: 1.2413345575332642
Component detached
Timestamp: 20241007_190917
Mean magnitude: 1.0403872728347778, after 0.819756 seconds
Mean magnitude: 1.6440627574920654, after 1.140509 seconds
Mean magnitude: 1.2259093523025513, after 1.451679 seconds
Mean magnitude: 1.3471494913101196, after 1.763712 seconds
Mean magnitude: 1.2782913446426392, after 2.082767 seconds
Mean magnitude: 1.1985509395599365, after 2.399506 seconds
Mean magnitude: 2.00962233543396, after 2.712148 seconds
Mean magnitude: 1.520389199256897, after 3.016394 seconds
Mean magnitude: 1.1610448360443115, after 3.325238 seconds
Mean magnitude: 1.4118188619613647, after 3.637362 seconds
Mean magnitude: 1.8265384435653687, after 3.943803 seconds
Mean magnitude: 1.5202308893203735, after 4.254069 seconds
Mean magnitude: 1.438704013824463, after 4.563673 seconds
Mean magnitude: 1.1519086360931396, after 4.874102 seconds
Mean magnitude: 1.518981695175171, after 5.184398 seconds
Mean magnitude: 2.136293649673462, after 5.492969 seconds
Mean magnitude: 1.344922423362732, after 5.802454 seconds
Mean magnitude: 1.4225090742111206, after 6.103708 seconds
Mean magnitude: 1.6981221437454224, after 6.404798 seconds
Mean magnitude: 1.567336082458496, after 6.706283 seconds
Mean magnitude: 1.2789167165756226, after 7.012409 seconds
Mean magnitude: 1.3119014501571655, after 7.322715 seconds
Mean magnitude: 1.6585427522659302, after 7.627855 seconds
Mean magnitude: 1.3525487184524536, after 7.936108 seconds
Mean magnitude: 1.0809924602508545, after 8.242063 seconds
Mean magnitude: 1.3720667362213135, after 8.550472 seconds
Mean magnitude: 1.7227067947387695, after 8.856386 seconds
Mean magnitude: 0.9429824948310852, after 9.162287 seconds
Mean magnitude: 1.4036020040512085, after 9.467588 seconds
Mean magnitude: 1.5011831521987915, after 9.772704 seconds
Mean magnitude: 2.0446970462799072, after 10.085864 seconds
Mean magnitude: 2.8361692428588867, after 10.391066 seconds
Mean magnitude: 2.163510322570801, after 10.693329 seconds
Mean magnitude: 1.0680723190307617, after 10.996334 seconds
Mean magnitude: 1.6401511430740356, after 11.299301 seconds
Mean magnitude: 1.1936029195785522, after 11.601595 seconds
Mean magnitude: 1.0248491764068604, after 11.900954 seconds
Mean magnitude: 1.190651297569275, after 12.208337 seconds
Mean magnitude: 1.4002902507781982, after 12.510922 seconds
Mean magnitude: 1.2335084676742554, after 12.812014 seconds
Mean magnitude: 1.1499531269073486, after 13.114515 seconds
Mean magnitude: 1.2956651449203491, after 13.417477 seconds
Mean magnitude: 1.273504614830017, after 13.718975 seconds
Mean magnitude: 0.9852632284164429, after 14.030787 seconds
Component disappeared: Mean magnitude: 0.9852632284164429
Component detached
Timestamp: 20241007_191006
Mean magnitude: 1.0764950513839722, after 0.824683 seconds
Mean magnitude: 1.6377477645874023, after 1.137611 seconds
Mean magnitude: 1.1709120273590088, after 1.452588 seconds
Mean magnitude: 0.9959364533424377, after 1.752569 seconds
Mean magnitude: 1.1467711925506592, after 2.053213 seconds
Mean magnitude: 1.2240936756134033, after 2.361096 seconds
Mean magnitude: 1.3003441095352173, after 2.667074 seconds
Mean magnitude: 1.2359260320663452, after 2.973623 seconds
Mean magnitude: 0.9997815489768982, after 3.281851 seconds
Mean magnitude: 1.3687660694122314, after 3.584318 seconds
Mean magnitude: 1.7026846408843994, after 3.886831 seconds
Mean magnitude: 1.6814886331558228, after 4.189497 seconds
Mean magnitude: 1.1292574405670166, after 4.491329 seconds
Mean magnitude: 1.302390456199646, after 4.795085 seconds
Mean magnitude: 1.5824092626571655, after 5.098908 seconds
Mean magnitude: 1.2065435647964478, after 5.401933 seconds
Mean magnitude: 1.836485505104065, after 5.704672 seconds
Mean magnitude: 1.5323097705841064, after 6.005555 seconds
Mean magnitude: 1.567528486251831, after 6.309182 seconds
Mean magnitude: 1.014512538909912, after 6.610983 seconds
Mean magnitude: 1.3886504173278809, after 6.913472 seconds
Mean magnitude: 1.3720272779464722, after 7.222737 seconds
Mean magnitude: 1.6688506603240967, after 7.530534 seconds
Mean magnitude: 1.5516077280044556, after 7.84445 seconds
Mean magnitude: 1.0410940647125244, after 8.15193 seconds
Mean magnitude: 1.3874881267547607, after 8.453889 seconds
Mean magnitude: 1.3112778663635254, after 8.756453 seconds
Mean magnitude: 1.1789135932922363, after 9.062613 seconds
Mean magnitude: 1.4436918497085571, after 9.368638 seconds
Mean magnitude: 1.4452117681503296, after 9.6746 seconds
Mean magnitude: 1.889527678489685, after 9.979227 seconds
Mean magnitude: 1.775136947631836, after 10.279312 seconds
Mean magnitude: 3.6322994232177734, after 10.583814 seconds
Component attached gently, after 10.583814 seconds
Mean magnitude: 1.4757466316223145, after 10.889087 seconds
Mean magnitude: 1.9445831775665283, after 11.189942 seconds
Mean magnitude: 1.2574479579925537, after 11.492273 seconds
Mean magnitude: 1.634007453918457, after 11.798848 seconds
Mean magnitude: 1.1933077573776245, after 12.099951 seconds
Mean magnitude: 1.166024923324585, after 12.400857 seconds
Mean magnitude: 1.8544270992279053, after 12.707556 seconds
Mean magnitude: 1.0218130350112915, after 13.0112 seconds
Mean magnitude: 1.4601701498031616, after 13.314665 seconds
Mean magnitude: 1.3812615871429443, after 13.620788 seconds
Mean magnitude: 1.6195404529571533, after 13.924664 seconds
Component disappeared: Mean magnitude: 1.6195404529571533
Component detached
Timestamp: 20241007_191046
Mean magnitude: 1.2371190786361694, after 0.805369 seconds
Mean magnitude: 2.0051259994506836, after 1.120515 seconds
Mean magnitude: 1.6085889339447021, after 1.446838 seconds
Mean magnitude: 1.3745542764663696, after 1.761117 seconds
Mean magnitude: 1.5374259948730469, after 2.066984 seconds
Mean magnitude: 1.4609272480010986, after 2.36856 seconds
Mean magnitude: 1.5864298343658447, after 2.674974 seconds
Mean magnitude: 1.693397045135498, after 2.9763 seconds
Mean magnitude: 1.8247359991073608, after 3.285457 seconds
Mean magnitude: 0.9080209136009216, after 3.590442 seconds
Mean magnitude: 1.2838959693908691, after 3.898058 seconds
Mean magnitude: 2.3437092304229736, after 4.200728 seconds
Mean magnitude: 1.2019610404968262, after 4.503542 seconds
Mean magnitude: 1.3812934160232544, after 4.808694 seconds
Mean magnitude: 1.3124947547912598, after 5.116925 seconds
Mean magnitude: 1.3746721744537354, after 5.426023 seconds
Mean magnitude: 1.3230948448181152, after 5.737019 seconds
Mean magnitude: 1.0906827449798584, after 6.049635 seconds
Mean magnitude: 1.3600945472717285, after 6.35721 seconds
Mean magnitude: 1.5322332382202148, after 6.670496 seconds
Mean magnitude: 1.3274900913238525, after 6.987968 seconds
Mean magnitude: 1.3754891157150269, after 7.301574 seconds
Mean magnitude: 1.1660159826278687, after 7.611069 seconds
Mean magnitude: 1.1654165983200073, after 7.92097 seconds
Mean magnitude: 1.3158836364746094, after 8.23295 seconds
Mean magnitude: 1.7441569566726685, after 8.541913 seconds
Mean magnitude: 1.3846262693405151, after 8.853898 seconds
Mean magnitude: 1.420050024986267, after 9.16499 seconds
Mean magnitude: 1.5659574270248413, after 9.47349 seconds
Mean magnitude: 1.3836512565612793, after 9.775399 seconds
Mean magnitude: 1.2396626472473145, after 10.079485 seconds
Mean magnitude: 5.899275302886963, after 10.384233 seconds
Component attached gently, after 10.384233 seconds
Mean magnitude: 3.9090962409973145, after 10.691283 seconds
Component attached gently, after 10.691283 seconds
Mean magnitude: 1.9818440675735474, after 11.003897 seconds
Mean magnitude: 1.426149606704712, after 11.312106 seconds
Mean magnitude: 1.3576970100402832, after 11.621397 seconds
Mean magnitude: 1.4079068899154663, after 11.925435 seconds
Mean magnitude: 1.5782092809677124, after 12.232886 seconds
