Timestamp: 20241007_185321
Mean magnitude: 1.4864749908447266, after 0.676718 seconds
Mean magnitude: 1.5924339294433594, after 0.942242 seconds
Mean magnitude: 1.220704436302185, after 1.211715 seconds
Mean magnitude: 1.586410641670227, after 1.469934 seconds
Mean magnitude: 1.2954394817352295, after 1.729196 seconds
Mean magnitude: 1.899571418762207, after 2.001123 seconds
Mean magnitude: 1.2326648235321045, after 2.281044 seconds
Mean magnitude: 1.2794511318206787, after 2.540956 seconds
Mean magnitude: 1.6231569051742554, after 2.798676 seconds
Mean magnitude: 1.3142940998077393, after 3.058341 seconds
Mean magnitude: 1.2045832872390747, after 3.320114 seconds
Mean magnitude: 1.2211586236953735, after 3.593223 seconds
Mean magnitude: 1.5208293199539185, after 3.880187 seconds
Mean magnitude: 1.5252012014389038, after 4.17135 seconds
Mean magnitude: 1.6742538213729858, after 4.449149 seconds
Mean magnitude: 1.2924607992172241, after 4.731945 seconds
Mean magnitude: 1.6684826612472534, after 4.992327 seconds
Mean magnitude: 1.6840587854385376, after 5.25975 seconds
Mean magnitude: 1.4590059518814087, after 5.551047 seconds
Mean magnitude: 1.3197503089904785, after 5.841478 seconds
Mean magnitude: 1.4584192037582397, after 6.140816 seconds
Mean magnitude: 1.700217366218567, after 6.450541 seconds
Mean magnitude: 1.3103691339492798, after 6.732217 seconds
Mean magnitude: 2.1388866901397705, after 7.013762 seconds
Mean magnitude: 1.3774937391281128, after 7.296295 seconds
Mean magnitude: 1.6099810600280762, after 7.576633 seconds
Mean magnitude: 1.3015341758728027, after 7.856805 seconds
Mean magnitude: 1.422204852104187, after 8.141578 seconds
Mean magnitude: 1.1006104946136475, after 8.413722 seconds
Mean magnitude: 1.2278071641921997, after 8.679906 seconds
Mean magnitude: 1.524359941482544, after 8.934384 seconds
Mean magnitude: 2.416325330734253, after 9.188926 seconds
Mean magnitude: 1.0002142190933228, after 9.470971 seconds
Mean magnitude: 1.3240361213684082, after 9.754581 seconds
Mean magnitude: 1.2341583967208862, after 10.03843 seconds
Mean magnitude: 1.7947746515274048, after 10.320501 seconds
Mean magnitude: 3.161750555038452, after 10.605646 seconds
Component attached gently, after 10.605646 seconds
Mean magnitude: 1.3753360509872437, after 10.896579 seconds
Mean magnitude: 1.5601024627685547, after 11.177568 seconds
Mean magnitude: 1.4971864223480225, after 11.433904 seconds
Mean magnitude: 1.3989834785461426, after 11.702466 seconds
Mean magnitude: 1.3493081331253052, after 11.960842 seconds
Component disappeared: Mean magnitude: 1.3493081331253052
Component detached
Timestamp: 20241007_185750
Mean magnitude: 1.0549557209014893, after 0.691204 seconds
Mean magnitude: 1.7133800983428955, after 0.954379 seconds
Mean magnitude: 1.2359309196472168, after 1.242432 seconds
Mean magnitude: 1.0410741567611694, after 1.493683 seconds
Mean magnitude: 1.168800950050354, after 1.74684 seconds
Mean magnitude: 1.144985556602478, after 2.01715 seconds
Mean magnitude: 1.0004663467407227, after 2.295606 seconds
Mean magnitude: 2.6569502353668213, after 2.584005 seconds
Mean magnitude: 1.4385215044021606, after 2.866668 seconds
Mean magnitude: 1.3061747550964355, after 3.149921 seconds
Mean magnitude: 1.0842769145965576, after 3.43361 seconds
Mean magnitude: 1.7450469732284546, after 3.713898 seconds
Mean magnitude: 1.1658376455307007, after 3.995729 seconds
Mean magnitude: 1.2098075151443481, after 4.266418 seconds
Mean magnitude: 1.3027844429016113, after 4.519891 seconds
Mean magnitude: 1.3588881492614746, after 4.774331 seconds
Mean magnitude: 1.0569027662277222, after 5.062753 seconds
Mean magnitude: 1.2269434928894043, after 5.34344 seconds
Mean magnitude: 1.4933574199676514, after 5.608238 seconds
Mean magnitude: 1.7520936727523804, after 5.863541 seconds
Mean magnitude: 1.1758407354354858, after 6.121735 seconds
Mean magnitude: 1.7959650754928589, after 6.38476 seconds
Mean magnitude: 1.0403690338134766, after 6.670252 seconds
Mean magnitude: 1.1707510948181152, after 6.954954 seconds
Mean magnitude: 1.0577950477600098, after 7.22296 seconds
Mean magnitude: 1.1603105068206787, after 7.502627 seconds
Mean magnitude: 1.1036149263381958, after 7.797157 seconds
Mean magnitude: 1.3282678127288818, after 8.083003 seconds
Mean magnitude: 1.3323894739151, after 8.366569 seconds
Mean magnitude: 1.2489054203033447, after 8.650219 seconds
Mean magnitude: 1.1367733478546143, after 8.932307 seconds
Mean magnitude: 1.1764118671417236, after 9.231531 seconds
Mean magnitude: 1.3406457901000977, after 9.563854 seconds
Mean magnitude: 1.3542884588241577, after 9.862741 seconds
Mean magnitude: 3.738004446029663, after 10.134468 seconds
Component attached gently, after 10.134468 seconds
Mean magnitude: 3.074469566345215, after 10.402596 seconds
Component attached gently, after 10.402596 seconds
Mean magnitude: 1.661084532737732, after 10.672102 seconds
Mean magnitude: 1.279246211051941, after 10.942838 seconds
Mean magnitude: 1.6187937259674072, after 11.231765 seconds
Mean magnitude: 1.550633192062378, after 11.497925 seconds
Mean magnitude: 1.9783620834350586, after 11.808576 seconds
Component disappeared: Mean magnitude: 1.9783620834350586
Component detached
Timestamp: 20241007_185842
Mean magnitude: 1.3420840501785278, after 0.778184 seconds
Mean magnitude: 2.0065629482269287, after 1.062292 seconds
Mean magnitude: 1.2877492904663086, after 1.350279 seconds
Mean magnitude: 1.1318684816360474, after 1.626851 seconds
Mean magnitude: 1.3917394876480103, after 1.8862 seconds
Mean magnitude: 1.1234619617462158, after 2.16142 seconds
Mean magnitude: 1.5420689582824707, after 2.422271 seconds
Mean magnitude: 1.3771336078643799, after 2.681883 seconds
Mean magnitude: 1.2113505601882935, after 2.939072 seconds
Mean magnitude: 1.216501235961914, after 3.196157 seconds
Mean magnitude: 1.0493669509887695, after 3.460248 seconds
Mean magnitude: 1.3035656213760376, after 3.719194 seconds
Mean magnitude: 1.2296062707901, after 3.987411 seconds
Mean magnitude: 1.1211813688278198, after 4.266069 seconds
Mean magnitude: 1.1489322185516357, after 4.552695 seconds
Mean magnitude: 1.5309401750564575, after 4.83325 seconds
Mean magnitude: 1.0606822967529297, after 5.115273 seconds
Mean magnitude: 1.0385979413986206, after 5.399509 seconds
Mean magnitude: 1.2345422506332397, after 5.682704 seconds
Mean magnitude: 1.6293221712112427, after 5.965944 seconds
Mean magnitude: 1.0465070009231567, after 6.24814 seconds
Mean magnitude: 1.257992148399353, after 6.531952 seconds
Mean magnitude: 1.0848979949951172, after 6.817031 seconds
Mean magnitude: 1.3533605337142944, after 7.099989 seconds
Mean magnitude: 0.8691975474357605, after 7.385744 seconds
Mean magnitude: 1.6831356287002563, after 7.668982 seconds
Mean magnitude: 0.7589691877365112, after 7.951606 seconds
Mean magnitude: 1.785266637802124, after 8.213005 seconds
